t_ps,x1_A,y1_A,z1_A,x2_A,y2_A,z2_A,vx1_Aps,vy1_Aps,vz1_Aps,vx2_Aps,vy2_Aps,vz2_Aps,E_kin_eV,E_pot_eV,E_total_eV
0.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3291844108166246e-01,3.3291844108166246e-01
1.0000000000000000e-02,1.4945392935874831e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4945392935874831e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0900562572603167e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0900562572603167e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5641850547716600e-02,3.1724729386216516e-01,3.3288914440988177e-01
2.0000000000000000e-02,1.4781988748547938e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4781988748547938e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.1681068969167305e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1681068969167305e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.1880197264127926e-02,2.7083310917602621e-01,3.3271330644015412e-01
2.9999999999999999e-02,1.4511771556491484e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4511771556491484e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.2054750537038603e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2054750537038603e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3526178374401049e-01,1.9680956720853351e-01,3.3207135095254403e-01
4.0000000000000001e-02,1.4140893737807165e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4140893737807165e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.1316903753094483e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1316903753094483e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2472213098368202e-01,1.0556122254146146e-01,3.3028335352514349e-01
5.0000000000000003e-02,1.3685433481429594e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3685433481429594e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.7929252937753564e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7929252937753564e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0240685191310640e-01,2.4046052371816482e-02,3.2645290428492291e-01
5.9999999999999998e-02,1.3182308679052095e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3182308679052095e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.9005700811097812e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9005700811097812e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1614296061762337e-01,5.1714799186806755e-03,3.2131444053630404e-01
7.0000000000000007e-02,1.2705319465207638e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2705319465207638e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.0462911594388649e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0462911594388649e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1552843123644247e-01,1.0646655435212637e-01,3.2199498558856887e-01
8.0000000000000002e-02,1.2373050447164322e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2373050447164322e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9844096756985019e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9844096756985019e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.1838566022671957e-02,2.8403639888302729e-01,3.3587496490569924e-01
8.9999999999999997e-02,1.2308437530067939e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2308437530067939e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.3602046895898319e-01,0.0000000000000000e+00,0.0000000000000000e+00,-8.3602046895898319e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.2007690397701222e-03,3.3200469631490709e-01,3.4120546535467722e-01
